problems,purpose
"{""Impulsywno\u015b\u0107"": 2, ""Brak cierpliwo\u015bci"": 4, ""Frustracja"": 4, ""Podnoszenie g\u0142osu / krzyk"": 2, ""Przebod\u017acowanie"": 5, ""Poczucie winy"": 4}",Być bardziej cierpliwa
"{""Frustracja"": 4, ""Podnoszenie g\u0142osu / krzyk"": 3, ""Przebod\u017acowanie"": 4, ""Poczucie winy"": 3, ""Wybuchy z\u0142o\u015bci"": 2}",Nie wiem
"{""Impulsywno\u015b\u0107"": 3, ""Brak cierpliwo\u015bci"": 4, ""Frustracja"": 5, ""Podnoszenie g\u0142osu / krzyk"": 3, ""Przebod\u017acowanie"": 5, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 3, ""Stres"": 3}",Wyeliminowanie krzyku w komunikacji z dzieckiem
"{""Brak cierpliwo\u015bci"": 5, ""Frustracja"": 5, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Przebod\u017acowanie"": 5, ""Stres"": 4, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 5, ""Impulsywno\u015b\u0107"": 5, ""Po\u015bpiech"": 5}",Chciałabym mieć więcej cierpliwości dla dzieciaków i być cichsza
"{""Impulsywno\u015b\u0107"": 4, ""Brak cierpliwo\u015bci"": 4, ""Frustracja"": 3, ""Podnoszenie g\u0142osu / krzyk"": 4, ""Problemy ze snem"": 3, ""Przebod\u017acowanie"": 5, ""Po\u015bpiech"": 4, ""Stres"": 5, ""Poczucie winy"": 5, ""Wybuchy z\u0142o\u015bci"": 5}",Spokój
"{""Impulsywno\u015b\u0107"": 4, ""Brak cierpliwo\u015bci"": 5, ""Frustracja"": 4, ""Podnoszenie g\u0142osu / krzyk"": 4, ""Przebod\u017acowanie"": 5, ""Stres"": 4, ""Wybuchy z\u0142o\u015bci"": 3, ""Poczucie winy"": 2}","Zmniejszenie nerwowości 
Budowanie zdolności radzenia sobie ze stresem
Nabranie odporności na bodźce stresowe"
"{""Podnoszenie g\u0142osu / krzyk"": 5, ""Po\u015bpiech"": 4, ""Brak cierpliwo\u015bci"": 3}",Spokojny ton głosu
"{""Brak cierpliwo\u015bci"": 5, ""Impulsywno\u015b\u0107"": 3, ""Podnoszenie g\u0142osu / krzyk"": 5, ""Wybuchy z\u0142o\u015bci"": 4}",Opanowanie emocji
"{""Impulsywno\u015b\u0107"": 4, ""Brak cierpliwo\u015bci"": 5, ""Frustracja"": 3, ""Podnoszenie g\u0142osu / krzyk"": 3, ""Przebod\u017acowanie"": 5, ""Po\u015bpiech"": 3, ""Poczucie winy"": 2, ""Wybuchy z\u0142o\u015bci"": 3}",Więcej cierpliwości
"{""Impulsywno\u015b\u0107"": 4, ""Frustracja"": 4, ""Podnoszenie g\u0142osu / krzyk"": 2, ""Poczucie winy"": 1, ""Wybuchy z\u0142o\u015bci"": 3}",Spokojna reakcja na brak kontroli nad sytuacja
