problems,purpose
"{""Niepok\u00f3j"": 4}",Sbb
"{""Brak cierpliwo\u015bci"": 2, ""Frustracja"": 4, ""Niepok\u00f3j"": 3, ""Po\u015bpiech"": 2, ""Stres"": 2, ""Poczucie winy"": 4}","Chciałabym być bardziej emoatyczba w aferach mojego syna.  Po 20 minutach słuchania jak mantry jego krzyku czuję, że zaraz wybuchnę.  Boję się tego, że staje się pusta w środku. "
"{""Zm\u0119czenie"": 2, ""Brak cierpliwo\u015bci"": 3, ""Niepok\u00f3j"": 3, ""Problemy ze snem"": 3, ""Przebod\u017acowanie"": 3, ""Po\u015bpiech"": 4, ""Stres"": 4, ""Poczucie winy"": 4}",spokojniej podchodzić do wszystkiego
"{""Zm\u0119czenie"": 2, ""Brak cierpliwo\u015bci"": 4}",Test
"{""Zm\u0119czenie"": 4, ""Brak cierpliwo\u015bci"": 4, ""Po\u015bpiech"": 5, ""Niepok\u00f3j"": 2, ""Stres"": 3}","Chciałabym być bardziej spokojna, mniej zirytowana, robić wszystko spokojniej, nie na stresie, że nie zdążę. Mniej się denerwować."
"{""Brak cierpliwo\u015bci"": 5, ""Frustracja"": 5, ""Po\u015bpiech"": 3, ""Stres"": 5, ""Poczucie winy"": 5}",Być bardziej spokojna i opanowana.
"{""Zm\u0119czenie"": 4, ""Frustracja"": 3, ""Niepok\u00f3j"": 3, ""Przebod\u017acowanie"": 2, ""Po\u015bpiech"": 4, ""Stres"": 4, ""Poczucie winy"": 3}",Być spokojniejsza
"{""Zm\u0119czenie"": 4, ""Brak cierpliwo\u015bci"": 2, ""Frustracja"": 4, ""Niepok\u00f3j"": 4, ""Problemy ze snem"": 4, ""Przebod\u017acowanie"": 5, ""Po\u015bpiech"": 4, ""Stres"": 3, ""Poczucie winy"": 4}",Wiecej opanowania
"{""Zm\u0119czenie"": 3, ""Brak cierpliwo\u015bci"": 3}",test
"{""Niepok\u00f3j"": 3}",Dupa
"{""Przebod\u017acowanie"": 5, ""Brak cierpliwo\u015bci"": 3, ""Frustracja"": 3}",Chcę mieć więcej zasobów.
